last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Cabrera, Miguel,408234,2020,.288,.520,.379,.366,.231,93.2,12.1,9.7,
Cruz Jr., Nelson,443558,2020,.269,.545,.383,.369,.276,91.6,9.4,15,
Peralta, David,444482,2020,.260,.375,.299,.304,.115,89.2,6.4,5,
Longoria, Evan,446334,2020,.282,.524,.364,.329,.243,91.7,10.7,11.5,
Cabrera, Asdrubal,452678,2020,.243,.429,.317,.307,.186,89.5,13.7,6.5,
Blackmon, Charlie,453568,2020,.276,.426,.331,.340,.150,86.9,13.5,4.9,
Solano, Donovan,456781,2020,.278,.417,.320,.320,.139,88.5,15.5,4.6,
McCutchen, Andrew,457705,2020,.276,.484,.358,.346,.208,89.7,18.2,8.2,
Votto, Joey,458015,2020,.253,.478,.369,.377,.225,87.4,15.4,9.1,
Santana, Carlos,467793,2020,.251,.448,.372,.393,.196,88,12.2,6.7,
Brantley Jr., Michael,488726,2020,.260,.413,.325,.327,.153,88.7,10.2,4.9,
Gurriel, Yuli,493329,2020,.265,.408,.318,.314,.143,89.3,13.9,3.7,
Escobar, Eduardo,500871,2020,.263,.396,.306,.317,.133,88.6,18.1,5.5,
Martinez, J.D.,502110,2020,.229,.443,.318,.306,.214,89.5,14.7,11,
Reddick, Josh,502210,2020,.246,.360,.303,.319,.114,85.9,19.1,4.8,
Goldschmidt, Paul,502671,2020,.285,.510,.396,.403,.224,89.2,11.7,10.7,
Gonzalez, Marwin,503556,2020,.240,.401,.314,.315,.162,89.2,12.6,5.1,
Altuve, Jose,514888,2020,.230,.349,.288,.296,.119,86.7,9.3,4.6,
Hernandez, Cesar,514917,2020,.273,.396,.330,.346,.123,89.1,5.6,4,
Segura, Jean,516416,2020,.250,.391,.318,.334,.141,87.7,11.2,6.1,
Marte, Starling,516782,2020,.264,.420,.326,.326,.156,87.1,6.5,6.4,
Freeman, Freddie,518692,2020,.343,.663,.466,.463,.320,92.4,17.2,14.7,
Grandal, Yasmani,518735,2020,.207,.403,.327,.334,.196,90.3,15.6,7.6,
LeMahieu, DJ,518934,2020,.312,.460,.366,.376,.147,91.3,2.3,2.9,
Rizzo, Anthony,519203,2020,.266,.413,.355,.383,.147,87.7,16.7,7.8,
Flores, Wilmer,527038,2020,.245,.430,.309,.294,.185,87.9,19,6.1,
Garcia, Avisail,541645,2020,.244,.375,.317,.339,.131,87.4,8.7,3.8,
Ozuna, Marcell,542303,2020,.313,.635,.436,.410,.323,93,16.4,15.4,
Villar, Jonathan,542340,2020,.216,.287,.261,.288,.071,86.7,1.6,1.5,
Aguilar, Jesus,542583,2020,.271,.452,.345,.348,.182,89.3,16,7.2,
Crawford, Brandon,543063,2020,.235,.398,.309,.311,.163,88.7,12.4,9.4,
Grossman, Robbie,543257,2020,.240,.399,.328,.344,.159,89,15.2,5.5,
Hicks, Aaron,543305,2020,.256,.435,.374,.405,.179,88.2,11.1,6.9,
Rendon, Anthony,543685,2020,.287,.469,.390,.420,.182,90.1,19.5,6.3,
Semien, Marcus,543760,2020,.209,.352,.287,.293,.143,86.2,19.3,5,
Springer III, George,543807,2020,.294,.569,.405,.386,.275,88.7,18.3,12.4,
Vazquez, Christian,543877,2020,.222,.358,.285,.289,.135,88.4,14.4,4.6,
Wong, Kolten,543939,2020,.235,.306,.286,.324,.070,86.5,10.8,0.6,
Gregorius, Didi,544369,2020,.263,.396,.311,.322,.132,83.8,17.8,4.2,
Grichuk, Randal,545341,2020,.268,.468,.333,.312,.199,88.9,12.6,11.2,
Trout, Mike,545361,2020,.291,.612,.428,.405,.321,93.7,23.1,15,
Ruiz, Rio,547004,2020,.212,.356,.277,.277,.144,87.9,10.5,8.5,
Harper, Bryce,547180,2020,.308,.658,.454,.451,.350,92.5,16,17.3,
Abreu, Jose,547989,2020,.299,.587,.399,.357,.288,92.9,10.9,14.3,
Suarez, Eugenio,553993,2020,.216,.472,.342,.325,.255,89.1,17.9,14.4,
Gonzalez, Erik,570481,2020,.237,.396,.293,.276,.158,88.5,5.5,6.7,
Arenado, Nolan,571448,2020,.235,.392,.288,.289,.157,87.8,19.1,5.4,
Muncy, Max,571970,2020,.229,.473,.360,.362,.244,88.5,14.2,12.4,
Myers, Wil,571976,2020,.285,.589,.396,.351,.304,91,13.4,14.8,
Pollock, AJ,572041,2020,.269,.499,.345,.312,.230,89.6,13,10.5,
Seager, Kyle,572122,2020,.252,.472,.365,.371,.220,89.1,17.7,10.2,
Voit III, Luke,572228,2020,.279,.586,.389,.340,.308,88.9,15.2,13.1,
Walker, Christian,572233,2020,.266,.454,.339,.331,.188,90.4,11.5,6.4,
Dickerson, Corey,572816,2020,.248,.396,.305,.303,.148,85.7,11.1,5.7,
Yastrzemski, Mike,573262,2020,.251,.488,.364,.360,.238,88.2,18.4,10.9,
Contreras, Willson,575929,2020,.249,.441,.353,.361,.192,89.8,9.1,10.4,
Canha, Mark,592192,2020,.241,.415,.359,.387,.175,89.7,19.4,7.7,
Castellanos, Nick,592206,2020,.274,.545,.375,.343,.271,91,16.5,16,
Machado, Manny,592518,2020,.300,.540,.385,.372,.240,90.2,15.6,11,
Moran, Colin,592567,2020,.254,.479,.350,.332,.225,91.9,8.3,13.4,
Realmuto, J.T.,592663,2020,.246,.498,.356,.331,.252,90.2,11.6,13.6,
Rosario, Eddie,592696,2020,.246,.437,.318,.307,.192,87.5,18.1,6.2,
Yelich, Christian,592885,2020,.250,.473,.378,.394,.223,94,7.1,12.1,
