last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Wainwright, Adam,425794,2021,.251,.388,.302,.305,.137,88.2,10,6.2,
Greinke, Zack,425844,2021,.266,.430,.320,.307,.164,88.3,10.6,6.5,
Morton, Charlie,450203,2021,.217,.332,.282,.296,.115,88.1,7.7,4.9,
Scherzer, Max,453286,2021,.196,.353,.263,.249,.157,87.9,19.3,8,
Miley, Wade,489119,2021,.252,.398,.312,.311,.146,85.7,8,6.1,
Gibson, Kyle,502043,2021,.241,.368,.302,.314,.127,88.8,7.4,4.9,
Darvish, Yu,506433,2021,.208,.376,.282,.270,.168,88.2,16.6,8.8,
Anderson, Tyler,542881,2021,.259,.425,.315,.301,.166,87,18.2,8.5,
Cole, Gerrit,543037,2021,.209,.369,.273,.257,.160,88.7,12.5,9.8,
DeSclafani, Anthony,543101,2021,.241,.410,.304,.291,.169,88.9,11.6,8.1,
Eovaldi, Nathan,543135,2021,.239,.366,.283,.281,.127,88,12.8,6.3,
Hendricks, Kyle,543294,2021,.276,.455,.339,.329,.179,86.3,11.1,8.4,
Lyles, Jordan,543475,2021,.275,.482,.351,.334,.207,89.9,15.3,9.1,
Ryu, Hyun Jin,547943,2021,.265,.440,.323,.306,.175,89.6,9.8,8.5,
Wheeler, Zack,554430,2021,.215,.318,.259,.265,.103,84.6,8.4,4.6,
Corbin, Patrick,571578,2021,.282,.493,.358,.343,.211,89.4,9,9.2,
Keuchel, Dallas,572971,2021,.302,.493,.372,.366,.191,88.3,5,9,
Stroman, Marcus,573186,2021,.262,.418,.318,.313,.156,89.1,6.3,6.5,
Gausman, Kevin,592332,2021,.231,.381,.290,.284,.151,89.1,12.1,7.1,
Ray, Robbie,592662,2021,.219,.398,.293,.276,.180,90.4,17.6,9.8,
Montas, Frankie,593423,2021,.237,.404,.307,.300,.167,89.3,11.6,8.7,
Musgrove, Joe,605397,2021,.236,.387,.304,.309,.151,87.8,11.6,7.2,
Nola, Aaron,605400,2021,.223,.378,.283,.273,.155,88.9,14.4,7.1,
Woodruff, Brandon,605540,2021,.226,.353,.280,.281,.127,86.2,10.6,5.8,
Fried, Max,608331,2021,.234,.364,.288,.289,.130,86.5,6.1,6.3,
Giolito, Lucas,608337,2021,.221,.362,.280,.278,.141,87.7,18.3,6.7,
Irvin, Cole,608344,2021,.281,.446,.338,.331,.164,89.3,16.2,7.3,
Marquez, German,608566,2021,.250,.390,.310,.319,.140,88.9,5.2,5.3,
Buehler, Walker,621111,2021,.218,.345,.272,.274,.127,88.2,11.1,6.8,
McCullers Jr., Lance,621121,2021,.208,.315,.285,.308,.106,89.8,5.1,5.3,
Berrios, Jose,621244,2021,.242,.407,.311,.301,.166,88.4,12.4,9.1,
Castillo, Luis,622491,2021,.233,.347,.294,.312,.115,87.7,4.2,4.5,
Flexen, Chris,623167,2021,.261,.427,.317,.305,.166,89.5,11.5,6.3,
Urias, Julio,628711,2021,.219,.360,.273,.266,.141,86,15.5,5.3,
Manaea, Sean,640455,2021,.249,.419,.312,.300,.170,90.2,13.3,8,
Mahle, Tyler,641816,2021,.229,.363,.298,.305,.134,87.8,13.3,6.5,
Alcantara, Sandy,645261,2021,.232,.369,.288,.287,.136,87.6,4.5,6.1,
Cease, Dylan,656302,2021,.210,.364,.295,.297,.154,89.2,18.5,9.9,
Burnes, Corbin,669203,2021,.180,.256,.219,.230,.076,85.5,8.4,3.1,
